graph,n,m,base_ok,base_runtime_ms,base_angle,base_face,base_edge,base_edgeRatio,base_spacing,base_dummyCount,base_status,single_ok,single_runtime_ms,single_angle,single_face,single_edge,single_edgeRatio,single_spacing,single_dummyCount,single_status
sample1,50,96,1,366.497389,0.28399700515547377,0.9975144820248666,0.9417039548172647,0.04131019836829038,0.752311338241825,47,max_sweeps,1,346.320475,0.28399700515547377,0.9975144820248666,0.9417039548172647,0.04131019836829038,0.752311338241825,47,max_sweeps
sample2,30,82,1,115.216583,0.4372215584344733,0.9955479772468617,0.9321952971792028,0.05312884684566879,0.6837554910519722,1,max_sweeps,1,112.774757,0.4372215584344733,0.9955479772468617,0.9321952971792028,0.05312884684566879,0.6837554910519722,1,max_sweeps
sample3,20,30,1,54.972021,0.7064480506650719,0.9986472695464534,0.882264601891621,0.1256147915444338,0.8424278481330028,11,stalled,1,55.377221,0.7064480506650719,0.9986472695464534,0.882264601891621,0.1256147915444338,0.8424278481330028,11,stalled
sample4,42,113,1,137.519951,0.3415655166208236,0.8527949962954761,0.9264452739017988,0.029043793275430104,0.6284499852728331,5,max_sweeps,1,137.150134,0.3415655166208236,0.8527949962954761,0.9264452739017988,0.029043793275430104,0.6284499852728331,5,max_sweeps
sample5,37,71,1,373.953225,0.18395207880708742,0.24996909077537133,0.908345058625574,0.013626110387955493,0.555024980548058,38,max_sweeps,1,243.457782,0.24909563598160867,0.9556716877897562,0.9241676223240806,0.03174202201830867,0.5947876673417445,16,max_sweeps
sample6,15,27,1,64.822916,0.2784769145620659,0.999669862333408,0.8898658088648932,0.169961386980186,0.6207835508776751,5,stalled,1,47.254945,0.26988128113017906,0.9998951484320874,0.892774446037321,0.20357830880606448,0.6272230382415883,2,realized
sample7,17,39,1,25.206007,0.45674184357323155,0.997924618417783,0.913050194015829,0.08824065209839653,0.6815535541237892,5,stalled,1,25.663890,0.45674184357323155,0.997924618417783,0.913050194015829,0.08824065209839653,0.6815535541237892,5,stalled
planar3tree10,10,24,1,3.775018,0.5543104405110435,0.9998960847190679,0.8819111809758777,0.11547256192234896,0.764270812552147,0,realized,1,3.636950,0.5543104405110435,0.9998960847190679,0.8819111809758777,0.11547256192234896,0.764270812552147,0,realized
planar3tree30,30,84,1,63.874682,0.3411945238114651,0.9999363961072153,0.9199580521561229,0.031489587540682935,0.7298801086721396,0,realized,1,63.846324,0.3411945238114651,0.9999363961072153,0.9199580521561229,0.031489587540682935,0.7298801086721396,0,realized
planar3tree100,100,294,1,576.070292,0.23527557093385398,0.9903174049034131,0.9495917494184203,0.009966633578746577,0.749568327058621,0,max_sweeps,1,531.938353,0.23527557093385398,0.9903174049034131,0.9495917494184203,0.009966633578746577,0.749568327058621,0,max_sweeps
cycle20,20,20,1,2.986922,1,1,0.9999999999999999,0.9999999999999988,0.9999999999999998,1,,1,2.574332,1,1,0.9999999999999999,0.9999999999999988,0.9999999999999998,1,
xtree30,30,54,1,125.062624,0.25570040742751643,0.9787560102017357,0.9085936275627575,0.0828412773040788,0.6427299502258311,12,max_sweeps,1,139.870175,0.18951008711894757,0.9841586555861747,0.9160362725342565,0.0752874035937403,0.6063673003658556,11,max_sweeps
oct174,174,516,1,1404.858609,0.2098160612885126,0.9847000622140506,0.9596897552807746,0.010433203462401838,0.7348817767973312,0,max_sweeps,1,1367.306674,0.2098160612885126,0.9847000622140506,0.9596897552807746,0.010433203462401838,0.7348817767973312,0,max_sweeps
grid2x10,20,28,1,76.776722,0.48260211076549353,0.9650218325473694,0.8544675585777395,0.06072149366445076,0.6128450634053575,10,stalled,1,102.559706,0.6483922912049884,0.5056066177845364,0.8215122501853906,0.059180153908781924,0.5464707275222848,9,max_sweeps
grid2x20,40,58,1,307.207083,0.5075001606598931,0.888998443992165,0.8631819727332449,0.02073827149459427,0.564120773506502,20,max_sweeps,0,294.854963,,,,,,,max_sweeps
grid4x20,80,136,1,548.843325,0.7315769187760708,0.9926082785372111,0.9322606895673925,0.05663100236734491,0.7793088117847591,57,max_sweeps,1,557.754233,0.7315769187760708,0.9926082785372111,0.9322606895673925,0.05663100236734491,0.7793088117847591,57,max_sweeps
grid9x9,81,144,1,617.763780,0.7763551372095469,0.9995332599133744,0.9857589497570461,0.5566223844168143,0.9456540896225394,64,stalled,1,619.678941,0.7763551372095469,0.9995332599133744,0.9857589497570461,0.5566223844168143,0.9456540896225394,64,stalled
randomplanar1,30,80,1,94.828959,0.2993706269628944,0.583008781136402,0.9213432928516324,0.038833892963486806,0.7473391518015131,5,max_sweeps,1,87.129266,0.29326867760226294,0.592152408127004,0.9215677256770785,0.039517134782453486,0.7403837602041872,3,max_sweeps
randomplanar2,50,130,1,257.799200,0.30230599198084307,0.8166173698176046,0.9356360622325356,0.03670683384061399,0.6865040848592442,18,max_sweeps,1,217.835325,0.30169574911603625,0.8158478207030866,0.9357405978006965,0.034526388846935825,0.6926624334174745,13,max_sweeps
randomplanar3,50,144,1,215.489792,0.25201420460276946,0.9999510178981105,0.9367764266086495,0.03241563264469086,0.6946715482217805,0,realized,1,214.794504,0.25201420460276946,0.9999510178981105,0.9367764266086495,0.03241563264469086,0.6946715482217805,0,realized
randomplanar4,60,150,1,386.538749,0.33616558054045187,0.9855716962684268,0.9431249553206945,0.02323024259210125,0.7300096194126684,30,max_sweeps,1,344.827149,0.3466260994518573,0.9950108646405222,0.9437949316125978,0.023308637600956975,0.7437997116122895,39,max_sweeps
randomplanar5,70,200,1,377.566910,0.22684276999048525,0.6056629231762063,0.9433137842042307,0.015547635577326703,0.6513798104985472,5,max_sweeps,1,359.342233,0.2312852031803092,0.6229138979502722,0.9433784505290506,0.01595909576361556,0.6690673318238911,3,max_sweeps
